"Age","Traffic","Spans","Length","ImprovementCost","Humidity","Temperature","DaysBelow0C","Wetness","Precipitation"
37,60,16,319.9,1250,80,19.3,11,4951,1474.19
17,1220,6,240.2,938,77,19.9,5,4656,1447.84
16,440,3,190,742,76,17.5,32,4518,1116.36
26,4340,3,109.9,430,79,18.9,10,4683,1302.41
57,490,4,80.1,313,77,18.5,15,4386,1102.21
49,46270,7,279.9,0,76,16.8,41,4359,1120.56
42,240,3,28.9,0,77,18.8,14,4423,1133.43
23,3350,4,42,164,76,16.8,41,4359,1120.56
49,1930,3,32.2,125,77,16.2,47,4355,1210.12
63,470,5,134.8,527,75,18.7,16,4211,1174.05
25,24930,2,23,139,77,16.3,43,4537,1196.86
68,1200,3,32.2,125,76,18.9,14,4231,1334.9
52,44360,3,173.9,1422,77,16.2,47,4355,1210.12
72,290,2,21,82,77,17.9,30,4756,1107.59
65,590,3,28.9,113,80,20,3,5022,1417.15
86,1120,3,32.2,125,78,19.1,8,4599,1293.02
45,17460,3,185,723,76,18.9,14,4231,1334.9
34,1768,2,33.1,164,77,17.9,30,4756,1107.59
90,3640,5,44,172,80,19.3,11,4951,1474.19
19,4210,2,410.1,1598,79,19.5,8,4841,1472.46
10,140,4,51.8,203,76,16.8,41,4359,1120.56
33,6660,1,102,0,77,16.2,47,4355,1210.12
4,2060,1,60,5328,77,17.9,30,4756,1107.59
11,490,1,36.1,141,76,16.8,41,4359,1120.56
62,490,3,32.2,125,76,17.8,27,4512,1039.26
74,18030,3,35.1,211,77,16.2,47,4355,1210.12
49,63800,4,190.9,935,74,18,19,3993,1394.54
59,880,4,290,1133,78,15.8,52,4607,1283.64
28,490,3,34.1,133,78,15.1,59,4627,1252.83
3,600,1,51.8,4662,77,16.3,43,4537,1196.86
52,18500,5,190,945,77,16.2,47,4355,1210.12
40,490,5,405.8,1586,76,17.3,32,4479,1129.57
63,6550,4,169.9,664,79,19.4,10,4738,1381.25
54,620,2,640.1,2501,76,18.4,15,4225,1431.38
13,7670,3,149.9,586,77,16.4,43,4521,1263.46
52,41890,2,755.9,3759,78,20.7,0,4392,1541.35
36,30080,2,65.9,258,77,16.2,47,4355,1210.12
51,490,2,22,86,78,15.1,59,4627,1252.83
34,490,3,48.9,191,78,14.4,69,4451,1510
